"_id","_labels","ROlle","Rolle","UNIQUE IMPORT ID","definition","humanname","info","unit","value","_start","_end","_type"
"0",":UNIQUE IMPORT LABEL:symbol","","","133","in Größe und Richtung unveränderliche zentrische Axiallast, unter deren Einfluss ein Wälzlager die gleiche Lebensdauer erreichen würde wie unter den tatsächlichen Lastverhältnissen","dynamische äquivalente axiale Belastung","","Newton","P_a",,,
"1",":UNIQUE IMPORT LABEL:symbol","","","145","Keine Definition in DIN ISO 281 vorhanden","Tragzahlberechnung einzusetzender effektive Rollenlänge","","Millimeter","L_we",,,
"2",":UNIQUE IMPORT LABEL:symbol","","","156","Keine Definition in DIN ISO 281 vorhanden","Tragzahlberechnung einzusetzender Rollendurchmesser","","Millimeter","D_we",,,
"3",":UNIQUE IMPORT LABEL:symbol","","","220","","","","","L_
                    n
                    m
                  ",,,
"4",":UNIQUE IMPORT LABEL:symbol","","","221","Keine Definition in DIN ISO 281 vorhanden","Lebensdauerbeiwert für die Zuverlässigkeit","","","a_1",,,
"5",":UNIQUE IMPORT LABEL:symbol","","","222","Keine Definition in DIN ISO 281 vorhanden","Lebensdauerbeiwert, auf der Grundlage einer Systembetrachtung der Lebensdauerberechnung","","","a_ISO",,,
"6",":UNIQUE IMPORT LABEL:symbol","","","227","","","","","f",,,
"7",":UNIQUE IMPORT LABEL:symbol","","","234","tatsächliche kinematische Viskosität des Öls bei Betriebstemperatur dividiert durch die kinematische Bezugsviskosität für eine angemessene Schmierung","Viskositätsverhältnis","","v/v_1","κ",,,
"8",":UNIQUE IMPORT LABEL:symbol","","","235","Keine Definition in DIN ISO 281 vorhanden","tatsächliche kinematische Viskosität des Schmierstoffs bei Betriebstemperatur","","in Quadratmillimeter je Sekunde","ν",,,
"9",":UNIQUE IMPORT LABEL:symbol","","","236","","","","","ν_1",,,
"10",":UNIQUE IMPORT LABEL:symbol","","","241","Keine Definition in DIN ISO 281 vorhanden","Index für Ausfallwahrscheinlichkeit","","in Prozent","n",,,
"11",":UNIQUE IMPORT LABEL:symbol","","","245","","","","","D_pw",,,
"12",":UNIQUE IMPORT LABEL:symbol","","","265","Verhältnis zwischen der Schmierfilmhöhe und der effektiven Summenrauheit, das zur Bestimmung des Einflusses der Schmierung auf die Lagerlebensdauer verwendet wird","Schmierfilmparameter","","","Λ",,,
"13",":UNIQUE IMPORT LABEL:symbol","","","279","Keine Definition in DIN ISO 281 vorhanden","Verunreinigungsbeiwert","","Millimeter","e_C",,,
"14",":UNIQUE IMPORT LABEL:symbol","","","280","Lagerbelastung, unter der die Grenzspannung der Ermüdung σu bei dem am höchsten belasteten Laufbahnkontakt gerade erreicht wird","statische axiale Tragzahl","","Newton","C_u",,,
"15",":UNIQUE IMPORT LABEL:symbol","","","282","Keine Definition in DIN ISO 281 vorhanden","dynamische äquivalente Belastung","","Newton","P",,,
"16",":UNIQUE IMPORT LABEL:symbol","","","486","","","","","Q_
                            u
                            
                            i
                            ,
                            
                            e
                          ",,,
"17",":UNIQUE IMPORT LABEL:symbol","","","487","","","","","σ_Hu",,,
"18",":UNIQUE IMPORT LABEL:symbol","","","490","","","","","π",,,
"19",":UNIQUE IMPORT LABEL:symbol","","","491","","","","","χ_
                                i
                                ,
                                
                                e
                              ",,,
"20",":UNIQUE IMPORT LABEL:symbol","","","498","","","","","χ",,,
"21",":UNIQUE IMPORT LABEL:symbol","","","502","","","","","K",,,
"22",":UNIQUE IMPORT LABEL:symbol","","","503","","","","","E",,,
"23",":UNIQUE IMPORT LABEL:symbol","","","506","","","","","F",,,
